order_id;user_id;date;amount;currency;plan_id;product_id
88c09d50-16c0-47f8-8677-40d37a759e2c;029b43b2-5bef-466d-a361-13e39665e2da;21/1/2026;100;USD;f85816c2-1ba9-479c-a818-09f4a3a9c989;310
0dc2eafe-9418-4108-a2f7-b15f03fb43cb;0119a46a-bcf4-427c-8565-fd4f9f822e6f;24/2/2026;270000;ARS;74b0ff7f-a16f-47bd-88b5-691d7625bfae;180
43cb9d8a-088c-4ba0-83e9-059ea9e4d297;010f963e-1958-4255-86e0-0b1fca6ef338;21/1/2026;120000;ARS;15c1953d-1767-49a6-96b6-ba48500f36c8;167
86fe15f7-4b64-48b0-a755-aa265c3e27ce;02067edd-48fc-41dc-b885-7616d6ca236e;15/1/2026;90000;ARS;76829886-8a39-4bcd-88c9-aaa06865bc0d;231
47f6a40b-76e3-4f22-9be6-1b8fc70d0502;03620a69-aeaa-43b5-98db-2f872b507bc1;1/3/2026;100;USD;40cad16b-e284-46fb-b26b-54120669de6c;201
4cd5582c-1055-465e-91a4-990415e4758a;00231f00-cad7-4302-a113-b1d9dba2e94d;6/1/2026;60;USD;c0cab6f3-d8a7-4fac-bb9d-c8afba956dca;231
354f4b27-75b2-4cf2-baad-939f4a80ab44;01ebf9d5-8d13-47c5-89f5-75ceabfe233a;21/1/2026;100;USD;bd059686-05c4-4ac1-b624-a0b25bd548f4;301
c1b8a1e4-d90e-4617-9b42-27abff881171;02875deb-9e91-4670-93a3-90caff7e1afe;18/3/2026;150000;ARS;9b254629-5583-4ce9-9d4d-4e85be2b51c3;301
fe2b8cf9-5be1-4831-9213-b4ef077ac4c3;00a5e1fa-b03c-4fe3-af07-74c62190cee3;8/1/2026;72;USD;1380392f-13ac-46f5-9d45-6de18f2a7b06;199
aabcdaa8-873c-4805-9eed-5cd85569ebcb;02534acd-b677-4e55-8b04-d5cb3992537f;24/2/2026;60;USD;c444555e-15e4-4c78-9dd2-8e07707b2a96;231
8e0c0855-6f54-4f4e-a561-681b89724f15;01e5662c-0477-4702-aca6-3204097d097c;10/3/2026;270000;ARS;d4118aea-6efb-4ad2-902e-4abef46916c5;180
fa0688bf-1a97-4475-b4cd-eb3cbe723639;00724ecb-886f-4ef8-b22e-3c60a57a86b3;3/2/2026;100;USD;3d0cbd35-fb31-4be1-9290-2972a92d4cc8;242
300ab766-25de-49f9-aa83-28d16d0b6e33;017e2b12-6de6-406c-83a8-c2ac4babef55;8/1/2026;180;USD;5d512819-6d3d-4a63-a783-99de3371752e;180
48b01ce0-f30c-4ec1-af96-37c3ac191ee3;02b51a90-ee23-45d3-a9ca-2bef7b6d3586;6/3/2026;270000;ARS;25931a35-d13c-4504-ae55-f95e90c7b808;180
bb307fef-bcc2-48c1-9f1a-72f346a0aa89;009b353b-b641-4dbc-8ea4-30ac0a31fee5;2/1/2026;270000;ARS;df302a6b-9cd6-4f85-ab3b-c7a71845f095;180
f93da6f8-951a-4af8-a6e8-9a006e54ae6f;036d74ba-92eb-4421-b438-62c36ca1c668;13/1/2026;60;USD;9a1e5d53-14ce-483c-a036-aed55629c57f;164
204adfde-4379-4d10-8be8-e251853e85f2;030243ab-65d4-4381-9056-f1c60a7697b5;18/3/2026;150000;ARS;177eabf0-3466-4cdb-949b-df13dae501ad;172
44ad5927-e15b-4121-bb7d-799c73402343;0202705b-e422-4633-82f9-9b6341f7947d;17/2/2026;72;USD;4c9d0814-f45f-4b14-88b3-bfa485e9b63b;199
e16b486a-7583-469e-886c-34a87871c3a0;0265c7ad-4f3f-4dd4-a0f5-68bca77ace49;11/3/2026;150000;ARS;53fc3636-9bb1-4386-b1cf-7ee6f161185f;172
b43a85d4-e0f4-496f-83d7-f281b8324298;00a16614-ef6d-456d-a2ab-e674f0762cd7;26/2/2026;180;USD;89e60ea5-23e6-47e0-8a5e-21465c4c977e;180
eaca3969-998a-4655-91ad-b4c36406e182;03574511-b713-4aad-b94f-a28314fe6f0d;20/3/2026;300000;ARS;b95a4e7e-4e15-4dfe-a7b1-421a454a39d5;156
3fddb585-2ed2-4505-a7c0-aaf2051237da;00fc8840-296b-4fe0-80a8-0a8b3e109b44;10/2/2026;60;USD;5584cc09-535f-4b92-885c-218ba7a5fe28;164
8bf928e9-67d1-4123-92da-f3ea1fc24e64;00e7a7a1-472e-4f8c-920a-cb55076622de;12/2/2026;160;USD;7f3ed784-d76f-4df2-8ae4-6ad8c1d70de3;260
e133fafe-90e1-4459-b5b7-1fe2c86c3225;03508acf-c98c-40b3-b75e-0cd6c8cafb11;6/1/2026;100;USD;9524905b-bad3-474e-8b83-525a1b6ed3a5;201
f360d34e-0905-4bce-89fb-f97c6ba86e71;01706d3e-8c51-4752-9809-1ccf4ea8d225;6/1/2026;120000;ARS;99185c84-b7e2-479e-a135-25c1cbbec919;165
1c7612a1-0f3f-4530-b836-1b56fcaaa767;002e66bb-a811-45f5-900c-776199a21527;24/2/2026;100;USD;b70e788c-4089-44d5-8a2a-7d50cf082f7b;172
9277977e-1bf0-4314-a3cd-e85d6077f189;00b3e79c-9f6d-4e88-81a9-98e0345ba855;7/1/2026;100;USD;6bdffbd0-1fcf-44ca-af15-15974509c250;242
3856b63e-6a6e-4a22-af0f-e2ecf9095c7f;0277d3ed-1e99-4e07-821b-6f7ac25109cc;7/3/2026;120000;ARS;bc1636eb-61bf-48fc-99c6-3f978ed2d0a9;165
adfb5b00-d4c9-4f61-a79f-5158b3851d0e;0204b554-9989-4d96-a896-5ddda3980983;3/2/2026;100;USD;12805546-76ed-4ded-9e9f-fde5e804c754;301
8b275257-4047-467a-8b14-50be4b724e83;00bd9e87-637f-4087-85f8-08d965bfde03;24/2/2026;100;USD;1df7bea0-2e6d-4b58-8137-a9f44c538a95;301
2cbc94f2-113d-4ffb-a96e-803588e4d329;02bab994-8c86-4f2f-8b63-57a94fd11891;11/3/2026;300000;ARS;c848299c-adac-4cd9-ab65-a232f15d14ad;156
62d75d4c-36f0-4977-bfcb-7c2cb672a09e;036ad7ec-42d3-455c-9a9d-6ec90e1c3491;30/1/2026;100;USD;7275b331-9b20-46ad-914e-6870f069ad6b;301
7b250b8f-86e3-48bd-9838-b30068738797;007ec29c-a353-41e3-ad72-0ecabe253d30;20/3/2026;160;USD;31a388f7-4457-43e1-a70e-ceb7768a3cb7;260
73980a0b-280f-48f2-ac54-44366e86122b;02ad95b3-fae3-405a-aa79-759348da1011;7/2/2026;240000;ARS;4eb45465-f7de-426f-8dc7-caf1a8a7f18f;280
a601cf45-135e-4d8c-a063-022acff98272;0010c8da-14dc-4b30-b144-cd7acdbe0a41;20/2/2026;100;USD;48662aea-ca6c-42b3-912d-7370ffc130d2;172
51e553b1-07bb-488e-b2be-24796918114f;01fc8ccd-77e2-431c-a216-a709e950e335;20/2/2026;150000;ARS;76865d08-d3f1-4363-be3b-31e22d2faa8b;310
1d2d4fbd-07bd-4abe-ac61-d33b22e0d02e;02e77595-8921-4bff-b344-e4a25acaffd2;18/2/2026;160;USD;c9b10bb0-2308-4f53-a141-1af76216845a;260
8a74b59b-41ac-40c6-9162-2bd9aa3d5076;0200a94d-8c12-4c88-902e-3e37391320a7;19/1/2026;90000;ARS;e882fff2-aa98-435c-a141-10113632b523;164
73910245-bb01-4cd5-a175-ce3568198021;01c17f5e-6fb2-4126-9fe2-ebf54f8a0f5d;7/3/2026;90000;ARS;97d3c869-0f69-46ba-aad3-26cd8c808b9d;231
119e3d58-6a54-402e-ae43-e1da70e5fc74;00f58b1a-c744-4f49-85db-e9d6efa12afc;23/1/2026;140;USD;35d14ebe-76d1-4ae1-a9e9-bd4dedc9094b;157
03bd29bc-dc5a-416d-a141-7536ef79f255;01943e67-7249-407d-8848-fc785443105c;17/2/2026;150000;ARS;7c911a0a-b59f-4103-a7dc-a51371f85063;201
0e89428f-3e4d-4eca-ac0e-a675f4dac7b6;027acf95-d7dd-4f43-b7c2-1a837032cfd6;11/2/2026;100;USD;78beb84f-e556-421c-bc51-9c756ce2a7b0;310
e83f2e49-293d-4105-ae84-39da5f295d89;00b8ab11-53c2-44be-8484-1c9337c0f6e1;24/1/2026;240000;ARS;dc0e8439-6fe7-4e0f-8dc1-696690f198dc;280
02e370dc-6da6-4ae2-81d8-3e00008c3832;03562bc6-ff33-4847-b88a-07464061c7db;21/3/2026;72;USD;495d3d12-cba7-4bfe-93c9-ae259768e9a4;199
548159dc-7d85-4b7c-a4b9-0c684d40996f;0248266a-55df-4caf-83d4-675ffe359ee3;5/3/2026;150000;ARS;1876bbf9-62e0-43ee-ab2a-efbdb58b949e;242
fe9b118a-f441-47c6-a045-824e1d1028e5;02b4549d-e348-4bc8-968f-d7775b35bdb4;6/2/2026;300000;ARS;33f73122-0d31-4107-8280-044f16adb56b;156
